"LAT","LONG","FIRENUMBER","FOREST","DISTRICT","YEAR","FIRENO","SIZECLAS","LS","SECTION","TWNSHIP","RANGE","MER","FORAREA","OWNSHIP","GENCAUSE","SPECAUSE","CAUSECLA","AGENCY","LOOKOUT","REPTD","TWDVEHI","FWDVEHI","TKEDVEHI","HCOPTER","FW","WALK","OTHERS","HRSTART","DAY","MON","HRDISC","DDAY","DMON","DISCTIME","REPDTIME","CREWSTAR","CREWBGN","CONTROL","EXTINGSED","PRIFUEL","SECFUEL","COVER","GFIREWX","OFIREWX","WINDIR","WINDVEL","WINDCHAR","ADMC","FWI","MEN","DOZERS","FWBOMBER","HEL","POWPUMPS","TANKERS","OTHER","MAXNOMEN","DISSIZE","IASIZE","RFAREA","CROWN","PRIVATE","TOTAL","MERAC","YCAC","YDAC","YMAC","POTAC","NOPOTAC","MFBM","CCORDS","DCORDS","DSANT","PRODV","PPV","SUPCOST"
51.8366,-114.7123,"DB6-001-61","B","6",61,1,1,"16",13,33,6,5,0,4,2,5,0,7,NA,1,9,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.3162,-114.7418,"DB6-002-61","B","6",61,2,2,"03",23,27,6,5,0,2,0,12,0,8,NA,1,52,0,0,0,0,0,0,0,29,3,0,29,3,0,10,0,5,35,180,2,4,0,0,0,6,30,0,0,0,10,0,0,0,0,0,0,0,2,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6
51.6146,-114.7126,"DB6-003-61","B","6",61,3,2,"10",36,30,6,5,0,4,6,7,0,7,NA,1,15,0,0,0,0,0,0,160,19,5,165,19,5,5,0,0,0,50,372,2,4,0,0,0,4,10,0,0,0,2,0,0,0,0,0,0,0,3,3,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,87
51.6036,-114.736,"DB6-004-61","B","6",61,4,1,"15",26,30,6,5,0,4,3,4,0,7,NA,1,180,0,0,0,0,0,0,0,0,5,0,0,0,1,600,0,100,0,350,0,0,0,0,0,8,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.7094,-114.6353,"DB6-005-61","B","6",61,5,2,"04",3,32,5,5,0,4,6,11,0,7,NA,1,4,0,0,0,0,0,0,110,22,5,110,22,5,0,0,0,0,3,10,0,2,0,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51.9277,-114.7298,"DB6-006-61","B","6",61,6,2,"04",24,34,6,5,0,4,2,14,0,4,NA,1,17,0,0,0,0,0,0,100,29,5,134,29,5,34,0,0,6,5,35,2,0,0,0,0,4,5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,143
51.8767,-114.7417,"DB6-007-61","B","6",61,7,2,"10",35,33,6,5,0,4,3,14,0,4,NA,1,10,0,0,0,0,0,0,0,0,3,0,0,0,0,2,14,2,0,57,0,0,0,0,0,4,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,178
51.6366,-114.7712,"DB6-008-61","B","6",61,8,3,"03",10,31,6,5,0,1,6,7,0,4,NA,1,19,0,0,0,0,0,0,155,16,6,172,16,6,17,0,8,7,43,1090,1,4,0,0,0,3,10,0,0,0,8,0,0,0,0,0,0,0,1,7,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,1254
51.8003,-114.8479,"DB6-009-61","B","6",61,9,1,"05",6,33,6,5,0,1,6,11,0,9,NA,4,12,0,0,0,0,0,0,0,9,7,0,9,7,0,10,2,6,0,5,0,0,0,0,0,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.702,-114.8068,"DB6-010-61","B","6",61,10,3,"09",32,31,6,5,0,4,6,7,0,7,NA,1,12,0,0,0,0,2,0,120,11,11,130,11,11,10,0,0,3,32,715,0,2,0,0,0,8,20,0,0,0,2,0,0,0,0,0,0,0,2,4,0,3,17,20,0,0,0,0,0,0,0,0,0,0,0,0,21
51.3926,-115.2282,"DB7-001-61","B","7",61,1,2,"07",17,28,9,5,0,1,1,1,0,1,"MH",1,17,17,0,0,0,0,0,170,17,6,125,20,6,675,1,2,10,52,647,6,1,0,6,1,0,0,0,0,0,12,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,147
51.6146,-115.2163,"DB7-002-61","B","7",61,2,1,"12",33,30,9,5,0,1,1,1,0,7,NA,1,27,0,0,0,0,1,0,112,26,6,117,26,6,5,4,0,3,5,45,6,9,0,0,0,1,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
51.7603,-115.2849,"DB8-001-61","B","8",61,1,2,"10",24,32,10,5,0,1,1,1,0,1,"BH",1,14,0,0,0,0,0,0,156,6,6,156,6,6,0,1,3,12,33,1843,0,1,0,0,0,6,5,0,0,0,9,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,82
51.8403,-115.2966,"DB8-002-61","B","8",61,2,2,"04",24,33,10,5,0,1,1,1,0,1,"BH",1,24,0,0,0,0,8,0,170,18,6,139,20,6,449,1,20,25,15,1140,0,1,0,0,0,7,15,0,0,0,7,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,347
51.6182,-115.3454,"DB8-003-61","B","8",61,3,1,"15",33,30,10,5,0,1,6,11,0,2,NA,1,6,0,0,0,0,0,0,100,27,6,105,27,6,5,0,0,2,0,27,2,3,0,0,0,6,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.8986,-115.2791,"DB8-004-61","B","8",61,4,2,"01",12,34,10,5,0,1,8,7,0,1,"BH",1,32,4,0,0,0,0,0,120,11,7,161,12,7,281,1,1,12,25,1340,0,1,0,0,0,3,5,0,0,0,7,0,0,0,0,0,0,0,2,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,935
49.4781,-114.5523,"DC1-001-61","C","1",61,1,1,"14",13,6,5,5,0,1,1,1,0,1,"IS",1,15,0,0,0,0,1,0,140,15,7,141,15,7,1,1,3,22,2,40,0,1,0,0,0,3,15,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
49.409,-114.2832,"DC1-002-61","C","1",61,2,1,"03",25,5,3,5,0,1,1,1,0,7,NA,1,14,0,0,0,0,1,0,165,23,7,170,23,7,5,2,2,6,2,0,0,5,0,0,0,7,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
49.704,-114.4774,"DC2-001-61","C","2",61,1,1,"08",4,9,4,5,0,1,5,14,0,7,NA,1,7,0,0,0,0,0,0,100,23,5,117,23,5,17,12,0,5,0,30,4,6,0,0,0,6,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.664,-114.5055,"DC2-002-61","C","2",61,2,2,"10",20,8,4,5,0,1,6,7,0,1,"IS",1,4,0,0,0,0,0,0,0,2,8,0,2,8,0,0,0,3,30,0,1,6,0,0,0,7,6,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,55
49.5802,-114.2119,"DC2-003-61","C","2",61,3,1,"15",21,7,2,5,0,4,8,7,0,7,NA,1,16,0,0,0,0,0,0,150,7,8,152,7,8,2,1,0,4,0,1,0,2,0,0,0,7,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.6384,-114.5111,"DC2-004-61","C","2",61,4,1,"14",8,8,4,5,0,4,8,7,0,7,NA,1,1,0,0,0,0,0,0,190,25,8,190,25,8,0,0,2,2,2,2,1,7,0,0,0,7,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.613,-114.3812,"DC2-005-61","C","2",61,5,1,"04",5,8,3,5,0,4,8,22,0,1,"IS",1,7,0,0,0,0,0,0,135,4,9,136,4,9,1,0,0,5,13,205,0,6,0,0,0,7,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.6203,-114.6974,"DC2-006-61","C","2",61,6,1,"12",1,8,6,5,0,1,6,7,0,2,NA,1,18,0,0,0,0,0,0,0,12,10,12,10,10,0,0,0,0,0,10,0,4,0,0,0,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
